Scheduling mode: FIFO
Number of processes: 513

  PID      ARR    BURST    START   FINISH
    1       10       22       10       32
    2       68       12       68       80
    3       98       34       98      132
    4      148       28      148      176
    5      192        3      192      195
    6      223        8      223      231
    7      266       18      266      284
    8      268       14      284      298
    9      268       30      298      328
   10      296       10      328      338
   11      354        6      354      360
   12      375        2      375      377
   13      377       31      377      408
   14      406       10      408      418
   15      457       21      457      478
   16      469        1      478      479
   17      529        9      529      538
   18      559       12      559      571
   19      581       39      581      620
   20      630       17      630      647
   21      685       38      685      723
   22      696       30      723      753
   23      744       21      753      774
   24      745       34      774      808
   25      782       29      808      837
   26      804        4      837      841
   27      817       15      841      856
   28      864       24      864      888
   29      912       27      912      939
   30      953       21      953      974
   31      993       24      993     1017
   32     1038       25     1038     1063
   33     1086       17     1086     1103
   34     1107       20     1107     1127
   35     1122        7     1127     1134
   36     1150       17     1150     1167
   37     1160       20     1167     1187
   38     1211        2     1211     1213
   39     1269       23     1269     1292
   40     1272       39     1292     1331
   41     1315       28     1331     1359
   42     1331        1     1359     1360
   43     1337       29     1360     1389
   44     1342        1     1389     1390
   45     1365       22     1390     1412
   46     1401       30     1412     1442
   47     1413        5     1442     1447
   48     1431       10     1447     1457
   49     1440       37     1457     1494
   50     1488        2     1494     1496
   51     1523       20     1523     1543
   52     1556        3     1556     1559
   53     1576       12     1576     1588
   54     1587       13     1588     1601
   55     1596        5     1601     1606
   56     1638       24     1638     1662
   57     1689       13     1689     1702
   58     1737       28     1737     1765
   59     1761       32     1765     1797
   60     1818        8     1818     1826
   61     1827       25     1827     1852
   62     1882        2     1882     1884
   63     1899       29     1899     1928
   64     1939       13     1939     1952
   65     1940       18     1952     1970
   66     1973        7     1973     1980
   67     2022       36     2022     2058
   68     2076        1     2076     2077
   69     2093       33     2093     2126
   70     2104       34     2126     2160
   71     2147       20     2160     2180
   72     2189       29     2189     2218
   73     2248       26     2248     2274
   74     2265        8     2274     2282
   75     2300       36     2300     2336
   76     2306       40     2336     2376
   77     2357       18     2376     2394
   78     2374       21     2394     2415
   79     2433       30     2433     2463
   80     2492       32     2492     2524
   81     2502        4     2524     2528
   82     2524       12     2528     2540
   83     2561       11     2561     2572
   84     2574       24     2574     2598
   85     2605       32     2605     2637
   86     2607       23     2637     2660
   87     2658       32     2660     2692
   88     2712       37     2712     2749
   89     2745       38     2749     2787
   90     2786       33     2787     2820
   91     2826        1     2826     2827
   92     2832       29     2832     2861
   93     2854       39     2861     2900
   94     2882       27     2900     2927
   95     2899       25     2927     2952
   96     2944       12     2952     2964
   97     2976       33     2976     3009
   98     2980        4     3009     3013
   99     3007       23     3013     3036
  100     3022       30     3036     3066
  101     3060       34     3066     3100
  102     3095       38     3100     3138
  103     3103       40     3138     3178
  104     3106       10     3178     3188
  105     3164       35     3188     3223
  106     3172       21     3223     3244
  107     3185       31     3244     3275
  108     3198       39     3275     3314
  109     3255       21     3314     3335
  110     3265       17     3335     3352
  111     3312       18     3352     3370
  112     3328       16     3370     3386
  113     3360       33     3386     3419
  114     3367       13     3419     3432
  115     3395       38     3432     3470
  116     3443        4     3470     3474
  117     3467        3     3474     3477
  118     3513       40     3513     3553
  119     3565       10     3565     3575
  120     3580        8     3580     3588
  121     3629       15     3629     3644
  122     3646       19     3646     3665
  123     3702       37     3702     3739
  124     3722        4     3739     3743
  125     3766       27     3766     3793
  126     3816       17     3816     3833
  127     3858        8     3858     3866
  128     3861       30     3866     3896
  129     3893       32     3896     3928
  130     3901       33     3928     3961
  131     3924       39     3961     4000
  132     3933        9     4000     4009
  133     3950       29     4009     4038
  134     3983       20     4038     4058
  135     4034       19     4058     4077
  136     4065       40     4077     4117
  137     4081       26     4117     4143
  138     4103       11     4143     4154
  139     4133       21     4154     4175
  140     4143       17     4175     4192
  141     4200       24     4200     4224
  142     4222       21     4224     4245
  143     4233       31     4245     4276
  144     4293       19     4293     4312
  145     4321       33     4321     4354
  146     4375       39     4375     4414
  147     4412        7     4414     4421
  148     4429       11     4429     4440
  149     4482       14     4482     4496
  150     4522       20     4522     4542
  151     4575       32     4575     4607
  152     4605       31     4607     4638
  153     4623       30     4638     4668
  154     4676       11     4676     4687
  155     4719       38     4719     4757
  156     4723       31     4757     4788
  157     4761       25     4788     4813
  158     4763       18     4813     4831
  159     4821       34     4831     4865
  160     4838       12     4865     4877
  161     4888        3     4888     4891
  162     4905       38     4905     4943
  163     4939       38     4943     4981
  164     4999       32     4999     5031
  165     5041       28     5041     5069
  166     5075        1     5075     5076
  167     5135       40     5135     5175
  168     5164       19     5175     5194
  169     5190       35     5194     5229
  170     5214        6     5229     5235
  171     5219       27     5235     5262
  172     5264       21     5264     5285
  173     5274       35     5285     5320
  174     5295        1     5320     5321
  175     5329       30     5329     5359
  176     5378       18     5378     5396
  177     5412        9     5412     5421
  178     5460       12     5460     5472
  179     5473        4     5473     5477
  180     5528        8     5528     5536
  181     5582       14     5582     5596
  182     5594        7     5596     5603
  183     5652       15     5652     5667
  184     5685       38     5685     5723
  185     5685       23     5723     5746
  186     5715       12     5746     5758
  187     5760        7     5760     5767
  188     5774       29     5774     5803
  189     5813       38     5813     5851
  190     5858        6     5858     5864
  191     5917       38     5917     5955
  192     5948       29     5955     5984
  193     5970        3     5984     5987
  194     5989        1     5989     5990
  195     6024       22     6024     6046
  196     6080       18     6080     6098
  197     6098       22     6098     6120
  198     6143        3     6143     6146
  199     6195       23     6195     6218
  200     6203       34     6218     6252
  201     6203       22     6252     6274
  202     6220       31     6274     6305
  203     6246       33     6305     6338
  204     6267        5     6338     6343
  205     6283       15     6343     6358
  206     6305       32     6358     6390
  207     6311       31     6390     6421
  208     6368       16     6421     6437
  209     6369       23     6437     6460
  210     6400        1     6460     6461
  211     6446       40     6461     6501
  212     6485       38     6501     6539
  213     6508       31     6539     6570
  214     6515       39     6570     6609
  215     6533       35     6609     6644
  216     6534       20     6644     6664
  217     6551       30     6664     6694
  218     6554       15     6694     6709
  219     6570       10     6709     6719
  220     6586       11     6719     6730
  221     6627       23     6730     6753
  222     6660        4     6753     6757
  223     6699        7     6757     6764
  224     6735        6     6764     6770
  225     6792       31     6792     6823
  226     6831        9     6831     6840
  227     6852       29     6852     6881
  228     6881       28     6881     6909
  229     6934       39     6934     6973
  230     6959       18     6973     6991
  231     6981       25     6991     7016
  232     7006       11     7016     7027
  233     7024       28     7027     7055
  234     7027       24     7055     7079
  235     7072       35     7079     7114
  236     7083        3     7114     7117
  237     7100        2     7117     7119
  238     7137        2     7137     7139
  239     7158       26     7158     7184
  240     7217        9     7217     7226
  241     7224        2     7226     7228
  242     7253        1     7253     7254
  243     7286       25     7286     7311
  244     7313       31     7313     7344
  245     7364       14     7364     7378
  246     7412        9     7412     7421
  247     7433        8     7433     7441
  248     7446        7     7446     7453
  249     7446       16     7453     7469
  250     7505       18     7505     7523
  251     7507       18     7523     7541
  252     7513       29     7541     7570
  253     7573       14     7573     7587
  254     7616        4     7616     7620
  255     7665       31     7665     7696
  256     7710       17     7710     7727
  257     7712       25     7727     7752
  258     7770       23     7770     7793
  259     7777       24     7793     7817
  260     7834       24     7834     7858
  261     7837       11     7858     7869
  262     7844       37     7869     7906
  263     7874       23     7906     7929
  264     7887       14     7929     7943
  265     7893        5     7943     7948
  266     7913       30     7948     7978
  267     7946       35     7978     8013
  268     7948       15     8013     8028
  269     7953       19     8028     8047
  270     7998        7     8047     8054
  271     8056        9     8056     8065
  272     8087       15     8087     8102
  273     8094       27     8102     8129
  274     8096       29     8129     8158
  275     8124       31     8158     8189
  276     8178       36     8189     8225
  277     8217       21     8225     8246
  278     8262       32     8262     8294
  279     8274       39     8294     8333
  280     8276        8     8333     8341
  281     8276       23     8341     8364
  282     8303       13     8364     8377
  283     8361       21     8377     8398
  284     8406       39     8406     8445
  285     8423       20     8445     8465
  286     8455       38     8465     8503
  287     8492        6     8503     8509
  288     8511       12     8511     8523
  289     8533       20     8533     8553
  290     8562       12     8562     8574
  291     8562       32     8574     8606
  292     8600       22     8606     8628
  293     8650       10     8650     8660
  294     8665       34     8665     8699
  295     8708       33     8708     8741
  296     8766       19     8766     8785
  297     8797        7     8797     8804
  298     8835       39     8835     8874
  299     8866       29     8874     8903
  300     8875       36     8903     8939
  301     8934       14     8939     8953
  302     8987       37     8987     9024
  303     8988       13     9024     9037
  304     9022        3     9037     9040
  305     9036       28     9040     9068
  306     9070       21     9070     9091
  307     9120        4     9120     9124
  308     9137       39     9137     9176
  309     9178       12     9178     9190
  310     9208       15     9208     9223
  311     9268       11     9268     9279
  312     9280       10     9280     9290
  313     9288       23     9290     9313
  314     9307       19     9313     9332
  315     9309       28     9332     9360
  316     9330        3     9360     9363
  317     9388       36     9388     9424
  318     9420        3     9424     9427
  319     9444        1     9444     9445
  320     9477       39     9477     9516
  321     9496        4     9516     9520
  322     9546        3     9546     9549
  323     9591       10     9591     9601
  324     9620       32     9620     9652
  325     9679       23     9679     9702
  326     9724       28     9724     9752
  327     9748       24     9752     9776
  328     9772       18     9776     9794
  329     9792       38     9794     9832
  330     9834        1     9834     9835
  331     9882       24     9882     9906
  332     9897        8     9906     9914
  333     9925       19     9925     9944
  334     9954       19     9954     9973
  335     9960       40     9973    10013
  336     9994       29    10013    10042
  337    10007        7    10042    10049
  338    10049       33    10049    10082
  339    10089       10    10089    10099
  340    10098       29    10099    10128
  341    10104       10    10128    10138
  342    10120       10    10138    10148
  343    10126       13    10148    10161
  344    10184        9    10184    10193
  345    10226       29    10226    10255
  346    10257       23    10257    10280
  347    10294       29    10294    10323
  348    10298       26    10323    10349
  349    10318       23    10349    10372
  350    10348       40    10372    10412
  351    10391       23    10412    10435
  352    10413       38    10435    10473
  353    10446       13    10473    10486
  354    10461       34    10486    10520
  355    10516       13    10520    10533
  356    10562       19    10562    10581
  357    10579       20    10581    10601
  358    10595        1    10601    10602
  359    10599       25    10602    10627
  360    10599       40    10627    10667
  361    10638        5    10667    10672
  362    10672        4    10672    10676
  363    10701       30    10701    10731
  364    10744        8    10744    10752
  365    10744       17    10752    10769
  366    10770       30    10770    10800
  367    10810       14    10810    10824
  368    10819       12    10824    10836
  369    10823       24    10836    10860
  370    10842        7    10860    10867
  371    10855       15    10867    10882
  372    10906       15    10906    10921
  373    10956        7    10956    10963
  374    11016       28    11016    11044
  375    11022       20    11044    11064
  376    11070        3    11070    11073
  377    11121       15    11121    11136
  378    11178       16    11178    11194
  379    11220       30    11220    11250
  380    11248       16    11250    11266
  381    11303       13    11303    11316
  382    11304       39    11316    11355
  383    11329       37    11355    11392
  384    11358       16    11392    11408
  385    11370       11    11408    11419
  386    11412       17    11419    11436
  387    11431        1    11436    11437
  388    11452       36    11452    11488
  389    11456       22    11488    11510
  390    11462       17    11510    11527
  391    11465       32    11527    11559
  392    11484       36    11559    11595
  393    11488       29    11595    11624
  394    11529       34    11624    11658
  395    11585       39    11658    11697
  396    11612       16    11697    11713
  397    11654       13    11713    11726
  398    11666        5    11726    11731
  399    11696       34    11731    11765
  400    11742       13    11765    11778
  401    11742       37    11778    11815
  402    11784        9    11815    11824
  403    11834       22    11834    11856
  404    11838       39    11856    11895
  405    11887       25    11895    11920
  406    11891        2    11920    11922
  407    11915       23    11922    11945
  408    11915       24    11945    11969
  409    11949       36    11969    12005
  410    11995       30    12005    12035
  411    12015       31    12035    12066
  412    12028       36    12066    12102
  413    12071       28    12102    12130
  414    12072       39    12130    12169
  415    12098       10    12169    12179
  416    12142       20    12179    12199
  417    12157       21    12199    12220
  418    12162       23    12220    12243
  419    12213       33    12243    12276
  420    12261       31    12276    12307
  421    12265       34    12307    12341
  422    12294       37    12341    12378
  423    12352       18    12378    12396
  424    12395       15    12396    12411
  425    12451       29    12451    12480
  426    12498       38    12498    12536
  427    12507       26    12536    12562
  428    12553       24    12562    12586
  429    12590       14    12590    12604
  430    12609       19    12609    12628
  431    12665       22    12665    12687
  432    12707       35    12707    12742
  433    12730       35    12742    12777
  434    12774       31    12777    12808
  435    12806       11    12808    12819
  436    12847       34    12847    12881
  437    12885        2    12885    12887
  438    12933       23    12933    12956
  439    12992       19    12992    13011
  440    13033       34    13033    13067
  441    13047       23    13067    13090
  442    13071       27    13090    13117
  443    13130        3    13130    13133
  444    13174       30    13174    13204
  445    13187       35    13204    13239
  446    13194       15    13239    13254
  447    13197       32    13254    13286
  448    13216       38    13286    13324
  449    13233       30    13324    13354
  450    13260        9    13354    13363
  451    13265       28    13363    13391
  452    13291        7    13391    13398
  453    13346       39    13398    13437
  454    13363       24    13437    13461
  455    13385       15    13461    13476
  456    13392       37    13476    13513
  457    13447       12    13513    13525
  458    13458       34    13525    13559
  459    13500       35    13559    13594
  460    13527       17    13594    13611
  461    13571        9    13611    13620
  462    13601        4    13620    13624
  463    13637       20    13637    13657
  464    13691       14    13691    13705
  465    13719        7    13719    13726
  466    13777       23    13777    13800
  467    13836        5    13836    13841
  468    13890       24    13890    13914
  469    13939       18    13939    13957
  470    13952       20    13957    13977
  471    13964        4    13977    13981
  472    14023       35    14023    14058
  473    14057       28    14058    14086
  474    14068       32    14086    14118
  475    14110       17    14118    14135
  476    14110       36    14135    14171
  477    14138       39    14171    14210
  478    14150        5    14210    14215
  479    14155       12    14215    14227
  480    14214       22    14227    14249
  481    14240       34    14249    14283
  482    14251       22    14283    14305
  483    14282        6    14305    14311
  484    14332       11    14332    14343
  485    14333        5    14343    14348
  486    14337       24    14348    14372
  487    14385       17    14385    14402
  488    14406        1    14406    14407
  489    14410       34    14410    14444
  490    14456       17    14456    14473
  491    14457       32    14473    14505
  492    14493       39    14505    14544
  493    14549       14    14549    14563
  494    14559       22    14563    14585
  495    14572       24    14585    14609
  496    14619       27    14619    14646
  497    14630       30    14646    14676
  498    14689       33    14689    14722
  499    14690       13    14722    14735
  500    14731        9    14735    14744
  501    14757       17    14757    14774
  502    14793       27    14793    14820
  503    14840        2    14840    14842
  504    14879       30    14879    14909
  505    14898       29    14909    14938
  506    14915       39    14938    14977
  507    14970       35    14977    15012
  508    15012       23    15012    15035
  509    15014       27    15035    15062
  510    15064       37    15064    15101
  511    15064       29    15101    15130
  512    15116       10    15130    15140
  513    15153       29    15153    15182

Statistics for the Run
----------------------
Total burst time: 10892
Total elapsed time: 15172
Throughput: 0.033812
CPU Utilization: 0.717901
Average waiting time: 17.651072
Average turnaround time: 38.883041
Average response time: 17.651072
